datetime,양배추,시금치,쌀,콩,녹두,고구마,감자,얼갈이배추,상추,수박,오이,호박,토마토,당근,열무,풋고추,양파,파,고춧가루,깻잎,피망,멜론,깐마늘(국산),느타리버섯,새송이버섯,배,바나나,파인애플,방울토마토,참외,복숭아,감귤,사과,딸기
2022-01-03,3247.0,7343.0,2727.0,12916.0,28100.0,5506.0,5296.0,3503.0,10771.0,27567.0,16630.0,2274.0,6806.0,3213.0,4040.0,15943.0,2053.0,2756.0,31509.0,27529.0,13475.0,12252.0,12833.0,13467.0,5986.0,36925.0,2967.0,6193.4,11868.0,0.0,0.0,2954.0,24853.0,26029.0
2022-01-04,3247.0,7343.0,2727.0,12916.0,28100.0,5506.0,5296.0,3503.0,10771.0,27567.0,16630.0,2299.0,6806.0,3213.0,4113.0,15943.0,2053.0,2756.0,31509.0,27529.0,13475.0,12252.0,12833.0,13467.0,5986.0,36925.0,2967.0,6193.4,11868.0,0.0,0.0,2954.0,24853.0,26600.0
2022-01-05,3247.0,8515.0,2727.0,12916.0,28100.0,5506.0,4828.0,3503.0,11286.0,27567.0,16630.0,2299.0,6806.0,3170.0,3433.0,15943.0,2053.0,2779.0,31509.0,27771.0,12633.0,12252.0,12833.0,13467.0,5986.0,36925.0,2967.0,6193.4,11868.0,0.0,0.0,2954.0,24853.0,27457.0
2022-01-06,3247.0,8515.0,2727.0,12916.0,28100.0,5526.0,3248.0,3503.0,13500.0,27567.0,16630.0,2327.0,6686.0,3084.0,4113.0,16886.0,2079.0,2567.0,31509.0,29471.0,17340.0,13052.0,12947.0,13467.0,5986.0,31250.0,3000.0,6193.4,11868.0,0.0,0.0,2883.0,24853.0,27300.0
2022-01-07,3247.0,8515.0,2727.0,12916.0,28100.0,5526.0,3058.0,3228.0,13500.0,26900.0,16630.0,2304.0,6686.0,3056.0,4113.0,16886.0,2079.0,2567.0,31509.0,30943.0,18683.0,13052.0,12947.0,13467.0,5986.0,32516.0,3000.0,6193.4,11868.0,0.0,0.0,2883.0,26353.0,27014.0
2022-01-08,3203.6666666666665,8186.666666666667,2708.0,12916.0,28100.0,5526.0,2982.0,3292.0,13462.0,26900.0,16630.0,2294.6666666666665,6686.0,3056.0,4113.0,16886.0,2073.6666666666665,2586.6666666666665,31509.0,30943.0,18716.33333333333,13048.666666666666,12947.0,13467.0,5986.0,32516.0,3000.0,6171.133333333333,11868.0,0.0,0.0,2936.333333333333,26353.0,26619.0
2022-01-09,3160.333333333333,7858.333333333333,2689.0,12916.0,28100.0,5526.0,2906.0,3356.0,13424.0,26900.0,16630.0,2285.333333333333,6686.0,3056.0,4113.0,16886.0,2068.333333333333,2606.333333333333,31509.0,30943.0,18749.666666666668,13045.333333333334,12947.0,13467.0,5986.0,32516.0,3000.0,6148.866666666667,11868.0,0.0,0.0,2989.6666666666665,26353.0,26224.0
2022-01-10,3117.0,7530.0,2670.0,12916.0,28100.0,5526.0,2830.0,3420.0,13386.0,26900.0,16630.0,2276.0,6686.0,3056.0,4113.0,16886.0,2063.0,2626.0,31509.0,30943.0,18783.0,13042.0,12947.0,13467.0,5986.0,32516.0,3000.0,6126.6,11868.0,0.0,0.0,3043.0,26353.0,25829.0
2022-01-11,3117.0,7530.0,2644.0,12916.0,28100.0,5582.0,2830.0,3673.0,13257.0,26900.0,16630.0,2327.0,6686.0,3056.0,4188.0,16886.0,2047.0,2626.0,31509.0,30014.0,18540.0,13042.0,12947.0,13467.0,5986.0,31850.0,3000.0,6059.8,11827.0,0.0,0.0,3080.0,26353.0,25729.0
2022-01-12,3117.0,7530.0,2644.0,12916.0,28100.0,5700.0,2830.0,3673.0,13129.0,26900.0,16630.0,2356.0,6686.0,3056.0,4188.0,17014.0,2047.0,2579.0,31509.0,30014.0,18950.0,13042.0,12947.0,13467.0,5986.0,31850.0,3000.0,5993.0,11827.0,0.0,0.0,3080.0,26353.0,24929.0
